CID,C
CID000008815,C10452
CID000008955,C01953
CID000008956,C04042
CID000008977,C00035
CID000008988,C00763
CID000009216,C07732
CID000009290,C00257
CID000009290,C08133
CID000009294,C01575
CID000009305,C01060
CID000009321,C05361
CID000009395,C06606
CID000009427,C16633
CID000009533,C16552
CID000009651,C08526
CID000009679,C04051
CID000009700,C00364
CID000009727,C02442
CID000009750,C00327
CID000009903,C03990
CID000009958,C06730
CID000010010,C01817
CID000010110,C00804
CID000010133,C02528
CID000010140,C01921
CID000010198,C06177
CID000010214,C00053
CID000010219,C09421
CID000010238,C00224
CID000010267,C05378
CID000010312,C16592
CID000010393,C06044
CID000010402,C16462
CID000010413,C00989
CID000010413,C01991
CID000010442,C02457
CID000010459,C19615
CID000010466,C18218
CID000010467,C06425
CID000010582,C11938
CID000010634,C04295
CID000010635,C03917
CID000010667,C14783
CID000010685,C00955
CID000010722,C07214
CID000010726,C01456
CID000010742,C10833
CID000010787,C02814
CID000010805,C05594
CID000011005,C06424
CID000011082,C02954
CID000011087,C16234
CID000011128,C01594
CID000011137,C14418
CID000011197,C08320
CID000011222,C01124
CID000011285,C19561
CID000011302,C05293
CID000011305,C14785
CID000011318,C03012
CID000011321,C02172
CID000011363,C17268
CID000011388,C10126
CID000011390,C16194
CID000011473,C06876
CID000011476,C07216
CID000011505,C06757
CID000011648,C02535
CID000011719,C16363
CID000011811,C03227
CID000011850,C01697
CID000011914,C01983
CID000011915,C02137
CID000011970,C05852
CID000012039,C00251
CID000012105,C07209
CID000012122,C05593
CID000012326,C00792
CID000012473,C05942
CID000012511,C08063
CID000012544,C05466
CID000012594,C04555
CID000012599,C00360
CID000012793,C02734
CID000013006,C06105
CID000013017,C11519
CID000013350,C16632
CID000013472,C20144
CID000013711,C00881
CID000013712,C00526
CID000013730,C00559
CID000013804,C00307
CID000013818,C20396
CID000013945,C00239
CID000014003,C03483
CID000014039,C07447
CID000014180,C00455
CID000014490,C06103
CID000014985,C02477
CID000015047,C02067
CID000015130,C08012
CID000015625,C07557
CID000015868,C19418
CID000015993,C00131
CID000016323,C06584
CID000016441,C02576
CID000016487,C18347
CID000016500,C00498
CID000016724,C11383
CID000016950,C03406
CID000017106,C01019
CID000017473,C00167
CID000018189,C02946
CID000018209,C16621
CID000018343,C12739
CID000018396,C00096
CID000018636,C18180
CID000018950,C00159
CID000018986,C05660
CID000019009,C05315
CID000019212,C00477
CID000019648,C00413
CID000019829,C05616
CID000020908,C14089
CID000021171,C03329
CID000021706,C01260
CID000021860,C02775
CID000023327,C00217
CID000023736,C04022
CID000023925,C00023
CID000023925,C14818
CID000023925,C14819
CID000023930,C00034
CID000023930,C19610
CID000023930,C19611
CID000024154,C02262
CID000024316,C00942
CID000024405,C16427
CID000024415,C16561
CID000024472,C20303
CID000024529,C00088
CID000024726,C06609
CID000024726,C18627
CID000025076,C05688
