ENSP,ID
ENSP00000293761,1.13.11.31
ENSP00000293761,1.13.11.33
ENSP00000294016,4.6.1.1
ENSP00000294064,3.2.1.18
ENSP00000294973,1.13.11.6
ENSP00000295256,2.5.1.18
ENSP00000295256,5.3.99.2
ENSP00000295266,1.2.4.1
ENSP00000295304,4.3.2.7
ENSP00000295448,3.5.99.6
ENSP00000295453,3.1.3.1
ENSP00000295463,3.1.3.1
ENSP00000295571,2.4.1.255
ENSP00000295588,2.4.1.376
ENSP00000295588,2.4.2.63
ENSP00000295770,2.4.99.18
ENSP00000295802,1.3.99.23
ENSP00000295887,2.7.7.41
ENSP00000295962,3.1.1.23
ENSP00000296412,1.1.1.1
ENSP00000296412,1.1.1.284
ENSP00000296424,1.1.1.30
ENSP00000296424,1.1.1.104
ENSP00000296486,4.2.3.2
ENSP00000296518,4.6.1.2
ENSP00000297107,2.4.1.41
ENSP00000297283,5.4.2.4
ENSP00000297283,5.4.2.11
ENSP00000297323,4.6.1.1
ENSP00000297494,1.14.13.39
ENSP00000297679,1.1.1.181
ENSP00000297785,1.2.1.3
ENSP00000297785,1.2.1.19
ENSP00000297785,1.2.1.28
ENSP00000297785,1.2.1.36
ENSP00000298198,2.7.1.106
ENSP00000298229,3.1.3.86
ENSP00000298248,1.1.1.45
ENSP00000298510,1.11.1.24
ENSP00000298545,2.7.4.3
ENSP00000298545,2.7.4.6
ENSP00000298556,2.4.2.8
ENSP00000299022,3.1.1.3
ENSP00000299022,3.1.1.5
ENSP00000299022,3.1.1.32
ENSP00000299198,2.7.3.2
ENSP00000299498,1.6.2.2
ENSP00000299518,1.1.1.41
ENSP00000299626,2.4.1.265
ENSP00000299964,2.1.1.1
ENSP00000300051,1.1.2.4
ENSP00000300060,3.4.11.2
ENSP00000300283,2.7.3.2
ENSP00000300441,6.2.1.2
ENSP00000300738,1.17.4.1
ENSP00000300900,4.2.1.1
ENSP00000301012,4.1.1.33
ENSP00000301149,1.1.1.8
ENSP00000301452,3.5.1.23
